bundle,window,iv_name,iv_var,fe_design,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,expected_sign_ok,sign_comment,verdict,identification_source
large_stock,12-17,large cumulative loss rate,large_stock_cum_12_17,birth_aimag + birth_cohort + wave,0.004195156582159748,0.03142995916918194,5.315885777450002,-0.024400336935169964,0.07489406282440947,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
large_stock,12-17,large maximum loss rate,large_stock_max_12_17,birth_aimag + birth_cohort + wave,0.004926671991946557,0.13663947615829436,2.3952979225574853,-0.038820499589349744,0.12168714558242645,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
large_stock,12-17,large count loss_rate >= 5,large_stock_count5_12_17,birth_aimag + birth_cohort + wave,0.06482349263742825,0.15995942236164495,2.122298351979083,0.03625103220367798,0.077563788362215,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
small_stock,12-17,small cumulative loss rate,small_stock_cum_12_17,birth_aimag + birth_cohort + wave,0.005140696052631401,0.03498137082387428,5.0819876653302956,-0.06147361445538957,0.09743810175710814,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
small_stock,12-17,small maximum loss rate,small_stock_max_12_17,birth_aimag + birth_cohort + wave,0.0048128617714023325,0.15726219539611777,2.151337064337642,-0.12277758998891919,0.1680541178895182,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
small_stock,12-17,small count loss_rate >= 5,small_stock_count5_12_17,birth_aimag + birth_cohort + wave,0.04600465266465334,0.18955237154605836,1.8383008499177795,-0.040554560339763235,0.13708993399860522,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
