animal_type,Адуу,Тэмээ,Хонь,Ямаа,Үхэр
Адуу,1,0.3260983707383026,0.8987885343613785,0.875536768625636,0.9051914276365586
Тэмээ,0.3260983707383026,1,0.28429605710250244,0.27318772331329805,0.27155413821097396
Хонь,0.8987885343613785,0.28429605710250244,1,0.9667085030848633,0.8770125925851366
Ямаа,0.875536768625636,0.27318772331329805,0.9667085030848633,1,0.85163602386807
Үхэр,0.9051914276365586,0.27155413821097396,0.8770125925851366,0.85163602386807,1
