sex,age_group,year,population
Эмэгтэй,65-69,2008,23641
Эмэгтэй,65-69,2009,23627
Эмэгтэй,65-69,2010,22489
Эмэгтэй,65-69,2011,22059
Эмэгтэй,65-69,2012,21877
Эмэгтэй,65-69,2013,22802
Эмэгтэй,65-69,2014,24241
Эмэгтэй,65-69,2015,25308
Эмэгтэй,65-69,2016,25874
Эмэгтэй,65-69,2017,27916
Эмэгтэй,65-69,2018,29721
Эмэгтэй,65-69,2019,32634
Эмэгтэй,65-69,2020,34428
Эмэгтэй,65-69,2021,38762
Эмэгтэй,65-69,2022,42336
Эмэгтэй,65-69,2023,46808
Эмэгтэй,65-69,2024,51424
Эмэгтэй,65-69,2025,56821
Эмэгтэй,70+,1956,17797
Эмэгтэй,70+,1963,20932
Эмэгтэй,70+,1969,22343
Эмэгтэй,70+,1979,26801
Эмэгтэй,70+,1989,31091
Эмэгтэй,70+,1990,34608
Эмэгтэй,70+,1991,35154
Эмэгтэй,70+,1992,34458
Эмэгтэй,70+,1993,34545
Эмэгтэй,70+,1994,31114
Эмэгтэй,70+,1995,32019
Эмэгтэй,70+,1996,32436
Эмэгтэй,70+,1997,32296
Эмэгтэй,70+,1998,32677
Эмэгтэй,70+,1999,28356
Эмэгтэй,70+,2000,29005
Эмэгтэй,70+,2001,29760
Эмэгтэй,70+,2002,29767
Эмэгтэй,70+,2003,30122
Эмэгтэй,70+,2004,30445
Эмэгтэй,70+,2005,30798
Эмэгтэй,70+,2006,38115
Эмэгтэй,70+,2007,38138
Эмэгтэй,70+,2008,38979
Эмэгтэй,70+,2009,38799
Эмэгтэй,70+,2010,40058
Эмэгтэй,70+,2011,40128
Эмэгтэй,70+,2012,41991
Эмэгтэй,70+,2013,42071
Эмэгтэй,70+,2014,45289
Эмэгтэй,70+,2015,44012
Эмэгтэй,70+,2016,45158
Эмэгтэй,70+,2017,46424
Эмэгтэй,70+,2018,48060
Эмэгтэй,70+,2019,49978
Эмэгтэй,70+,2020,53345
Эмэгтэй,70+,2021,54210
Эмэгтэй,70+,2022,57295
Эмэгтэй,70+,2023,60764
Эмэгтэй,70+,2024,64861
Эмэгтэй,70+,2025,69706
