species,hses_code,year,aimag_mn,loss
Адуу,23,2018,Хэнтий,10.7
Адуу,23,2019,Хэнтий,12.7
Адуу,23,2020,Хэнтий,13
Адуу,23,2021,Хэнтий,9.9
Адуу,23,2022,Хэнтий,8.5
Адуу,23,2023,Хэнтий,47.9
Адуу,23,2024,Хэнтий,107.2
Адуу,41,1991,Төв,7.2
Адуу,41,1992,Төв,7.7
Адуу,41,1993,Төв,8.5
Адуу,41,1994,Төв,6.3
Адуу,41,1995,Төв,4.4
Адуу,41,1996,Төв,4.1
Адуу,41,1997,Төв,3.3
Адуу,41,1998,Төв,2.4
Адуу,41,1999,Төв,11.2
Адуу,41,2000,Төв,31.8
Адуу,41,2001,Төв,61
Адуу,41,2002,Төв,4.8
Адуу,41,2003,Төв,27.8
Адуу,41,2004,Төв,3.9
Адуу,41,2005,Төв,2.2
Адуу,41,2006,Төв,2
Адуу,41,2007,Төв,1.6
Адуу,41,2008,Төв,9.5
Адуу,41,2009,Төв,2.4
Адуу,41,2010,Төв,30.9
Адуу,41,2011,Төв,1.5
Адуу,41,2012,Төв,1.7
Адуу,41,2013,Төв,2.3
Адуу,41,2014,Төв,1.8
Адуу,41,2015,Төв,3
Адуу,41,2016,Төв,8.7
Адуу,41,2017,Төв,6.3
Адуу,41,2018,Төв,27
Адуу,41,2019,Төв,4.3
Адуу,41,2020,Төв,6.8
Адуу,41,2021,Төв,14.8
Адуу,41,2022,Төв,3
Адуу,41,2023,Төв,10.9
Адуу,41,2024,Төв,39
Адуу,42,1991,Говьсүмбэр,0.2
Адуу,42,1992,Говьсүмбэр,0.2
Адуу,42,1993,Говьсүмбэр,0.4
Адуу,42,1994,Говьсүмбэр,0.3
Адуу,42,1995,Говьсүмбэр,0.2
Адуу,42,1996,Говьсүмбэр,0.1
Адуу,42,1997,Говьсүмбэр,0.2
Адуу,42,1998,Говьсүмбэр,0.1
Адуу,42,1999,Говьсүмбэр,0.2
Адуу,42,2000,Говьсүмбэр,0.8
Адуу,42,2001,Говьсүмбэр,4.2
Адуу,42,2002,Говьсүмбэр,0
Адуу,42,2003,Говьсүмбэр,0
Адуу,42,2004,Говьсүмбэр,0
Адуу,42,2005,Говьсүмбэр,0
Адуу,42,2006,Говьсүмбэр,0.1
Адуу,42,2007,Говьсүмбэр,0
Адуу,42,2008,Говьсүмбэр,0.7
Адуу,42,2009,Говьсүмбэр,0.4
Адуу,42,2010,Говьсүмбэр,0.3
Адуу,42,2011,Говьсүмбэр,0
Адуу,42,2012,Говьсүмбэр,0
Адуу,42,2013,Говьсүмбэр,0
Адуу,42,2014,Говьсүмбэр,0
Адуу,42,2015,Говьсүмбэр,0.1
Адуу,42,2016,Говьсүмбэр,0.4
Адуу,42,2017,Говьсүмбэр,0.1
Адуу,42,2018,Говьсүмбэр,1.8
Адуу,42,2019,Говьсүмбэр,0.2
Адуу,42,2020,Говьсүмбэр,0.5
Адуу,42,2021,Говьсүмбэр,1
Адуу,42,2022,Говьсүмбэр,0.1
Адуу,42,2023,Говьсүмбэр,0.2
Адуу,42,2024,Говьсүмбэр,9.3
Адуу,43,1991,Сэлэнгэ,1.6
Адуу,43,1992,Сэлэнгэ,1.6
Адуу,43,1993,Сэлэнгэ,2.1
Адуу,43,1994,Сэлэнгэ,1.2
Адуу,43,1995,Сэлэнгэ,1.4
Адуу,43,1996,Сэлэнгэ,1.4
Адуу,43,1997,Сэлэнгэ,1.1
Адуу,43,1998,Сэлэнгэ,0.8
Адуу,43,1999,Сэлэнгэ,1.1
Адуу,43,2000,Сэлэнгэ,1.2
Адуу,43,2001,Сэлэнгэ,2
Адуу,43,2002,Сэлэнгэ,0.9
Адуу,43,2003,Сэлэнгэ,2.7
Адуу,43,2004,Сэлэнгэ,1
Адуу,43,2005,Сэлэнгэ,0.6
Адуу,43,2006,Сэлэнгэ,0.4
Адуу,43,2007,Сэлэнгэ,0.2
Адуу,43,2008,Сэлэнгэ,0.2
Адуу,43,2009,Сэлэнгэ,0.4
Адуу,43,2010,Сэлэнгэ,1.5
Адуу,43,2011,Сэлэнгэ,0.4
Адуу,43,2012,Сэлэнгэ,0.4
Адуу,43,2013,Сэлэнгэ,0.5
Адуу,43,2014,Сэлэнгэ,0.4
Адуу,43,2015,Сэлэнгэ,0.5
Адуу,43,2016,Сэлэнгэ,0.3
Адуу,43,2017,Сэлэнгэ,2.1
Адуу,43,2018,Сэлэнгэ,1.3
Адуу,43,2019,Сэлэнгэ,0.6
Адуу,43,2020,Сэлэнгэ,0.6
Адуу,43,2021,Сэлэнгэ,0.9
Адуу,43,2022,Сэлэнгэ,1.1
Адуу,43,2023,Сэлэнгэ,3.9
Адуу,43,2024,Сэлэнгэ,4.4
Адуу,44,1991,Дорноговь,1.9
Адуу,44,1992,Дорноговь,1.6
Адуу,44,1993,Дорноговь,3.9
Адуу,44,1994,Дорноговь,2.3
Адуу,44,1995,Дорноговь,1.2
Адуу,44,1996,Дорноговь,1
Адуу,44,1997,Дорноговь,1.7
Адуу,44,1998,Дорноговь,0.8
Адуу,44,1999,Дорноговь,0.7
Адуу,44,2000,Дорноговь,3.8
Адуу,44,2001,Дорноговь,25.8
Адуу,44,2002,Дорноговь,5.5
Адуу,44,2003,Дорноговь,0.9
Адуу,44,2004,Дорноговь,0.4
Адуу,44,2005,Дорноговь,1.5
Адуу,44,2006,Дорноговь,6.2
Адуу,44,2007,Дорноговь,0.4
Адуу,44,2008,Дорноговь,0.5
Адуу,44,2009,Дорноговь,0.2
Адуу,44,2010,Дорноговь,0.9
Адуу,44,2011,Дорноговь,0.3
Адуу,44,2012,Дорноговь,0.4
Адуу,44,2013,Дорноговь,0.4
Адуу,44,2014,Дорноговь,0.4
Адуу,44,2015,Дорноговь,0.5
Адуу,44,2016,Дорноговь,11.3
Адуу,44,2017,Дорноговь,0.3
Адуу,44,2018,Дорноговь,1.2
Адуу,44,2019,Дорноговь,0.3
Адуу,44,2020,Дорноговь,0.4
Адуу,44,2021,Дорноговь,1.4
Адуу,44,2022,Дорноговь,0.4
Адуу,44,2023,Дорноговь,12.7
Адуу,44,2024,Дорноговь,56.1
Адуу,45,1991,Дархан-Уул,0.1
Адуу,45,1992,Дархан-Уул,0.4
Адуу,45,1993,Дархан-Уул,0.6
Адуу,45,1994,Дархан-Уул,0.2
Адуу,45,1995,Дархан-Уул,0.7
Адуу,45,1996,Дархан-Уул,0.5
Адуу,45,1997,Дархан-Уул,0.3
Адуу,45,1998,Дархан-Уул,0.2
Адуу,45,1999,Дархан-Уул,0.2
Адуу,45,2000,Дархан-Уул,0.5
Адуу,45,2001,Дархан-Уул,0.5
Адуу,45,2002,Дархан-Уул,0.1
Адуу,45,2003,Дархан-Уул,0.4
Адуу,45,2004,Дархан-Уул,0
Адуу,45,2005,Дархан-Уул,0.1
Адуу,45,2006,Дархан-Уул,0
Адуу,45,2007,Дархан-Уул,0
Адуу,45,2008,Дархан-Уул,0
Адуу,45,2009,Дархан-Уул,0
Адуу,45,2010,Дархан-Уул,0.4
Адуу,45,2011,Дархан-Уул,0.1
Адуу,45,2012,Дархан-Уул,0.2
Адуу,45,2013,Дархан-Уул,0.2
Адуу,45,2014,Дархан-Уул,0.1
Адуу,45,2015,Дархан-Уул,0.1
Адуу,45,2016,Дархан-Уул,0.1
Адуу,45,2017,Дархан-Уул,0.6
Адуу,45,2018,Дархан-Уул,0.1
Адуу,45,2019,Дархан-Уул,0.1
Адуу,45,2020,Дархан-Уул,0.1
Адуу,45,2021,Дархан-Уул,0.1
Адуу,45,2022,Дархан-Уул,0.2
Адуу,45,2023,Дархан-Уул,0.5
Адуу,45,2024,Дархан-Уул,0.4
Адуу,46,1991,Өмнөговь,1.5
Адуу,46,1992,Өмнөговь,2.6
Адуу,46,1993,Өмнөговь,5.4
Адуу,46,1994,Өмнөговь,0.6
Адуу,46,1995,Өмнөговь,0.7
Адуу,46,1996,Өмнөговь,0.8
Адуу,46,1997,Өмнөговь,0.7
Адуу,46,1998,Өмнөговь,1
Адуу,46,1999,Өмнөговь,3.6
Адуу,46,2000,Өмнөговь,16.5
Адуу,46,2001,Өмнөговь,24.9
Адуу,46,2002,Өмнөговь,19.4
Адуу,46,2003,Өмнөговь,7.6
Адуу,46,2004,Өмнөговь,0.4
Адуу,46,2005,Өмнөговь,0.7
Адуу,46,2006,Өмнөговь,1.1
Адуу,46,2007,Өмнөговь,0.3
Адуу,46,2008,Өмнөговь,0.2
Адуу,46,2009,Өмнөговь,0.8
Адуу,46,2010,Өмнөговь,13
Адуу,46,2011,Өмнөговь,0.3
Адуу,46,2012,Өмнөговь,0.2
Адуу,46,2013,Өмнөговь,0.2
Адуу,46,2014,Өмнөговь,0.4
Адуу,46,2015,Өмнөговь,0.6
Адуу,46,2016,Өмнөговь,0.2
Адуу,46,2017,Өмнөговь,0.2
Адуу,46,2018,Өмнөговь,1.9
Адуу,46,2019,Өмнөговь,0.1
