species,hses_code,year,aimag_mn,livestock
Адуу,48,2002,Дундговь,113.4
Адуу,48,2003,Дундговь,111.1
Адуу,48,2004,Дундговь,120.7
Адуу,48,2005,Дундговь,119.5
Адуу,48,2006,Дундговь,107.3
Адуу,48,2007,Дундговь,104.7
Адуу,48,2008,Дундговь,84
Адуу,48,2009,Дундговь,82
Адуу,48,2010,Дундговь,51.3
Адуу,48,2011,Дундговь,59.7
Адуу,48,2012,Дундговь,72
Адуу,48,2013,Дундговь,85
Адуу,48,2014,Дундговь,105.1
Адуу,48,2015,Дундговь,123.7
Адуу,48,2016,Дундговь,137
Адуу,48,2017,Дундговь,160.2
Адуу,48,2018,Дундговь,162.9
Адуу,48,2019,Дундговь,178.2
Адуу,48,2020,Дундговь,166.5
Адуу,48,2021,Дундговь,158.7
Адуу,48,2022,Дундговь,183.1
Адуу,48,2023,Дундговь,194.6
Адуу,48,2024,Дундговь,158.3
Адуу,61,1976,Орхон,0.3
Адуу,61,1977,Орхон,0.5
Адуу,61,1978,Орхон,0.5
Адуу,61,1979,Орхон,3.7
Адуу,61,1980,Орхон,0.7
Адуу,61,1981,Орхон,1.1
Адуу,61,1982,Орхон,1.5
Адуу,61,1983,Орхон,1.7
Адуу,61,1984,Орхон,1.9
Адуу,61,1985,Орхон,2.1
Адуу,61,1986,Орхон,2.1
Адуу,61,1987,Орхон,2.3
Адуу,61,1988,Орхон,2.6
Адуу,61,1989,Орхон,3.1
Адуу,61,1990,Орхон,4.3
Адуу,61,1991,Орхон,5.3
Адуу,61,1992,Орхон,6.6
Адуу,61,1993,Орхон,8.3
Адуу,61,1994,Орхон,8.6
Адуу,61,1995,Орхон,11.5
Адуу,61,1996,Орхон,11.5
Адуу,61,1997,Орхон,10.8
Адуу,61,1998,Орхон,10.9
Адуу,61,1999,Орхон,12.8
Адуу,61,2000,Орхон,11.5
Адуу,61,2001,Орхон,11.6
Адуу,61,2002,Орхон,11.6
Адуу,61,2003,Орхон,7.8
Адуу,61,2004,Орхон,9.7
Адуу,61,2005,Орхон,7.8
Адуу,61,2006,Орхон,9.2
Адуу,61,2007,Орхон,10.5
Адуу,61,2008,Орхон,11.3
Адуу,61,2009,Орхон,11.4
Адуу,61,2010,Орхон,10.7
Адуу,61,2011,Орхон,11.8
Адуу,61,2012,Орхон,11.8
Адуу,61,2013,Орхон,11.6
Адуу,61,2014,Орхон,9.1
Адуу,61,2015,Орхон,9.1
Адуу,61,2016,Орхон,11.3
Адуу,61,2017,Орхон,12.3
Адуу,61,2018,Орхон,11.3
Адуу,61,2019,Орхон,12.2
Адуу,61,2020,Орхон,12.8
Адуу,61,2021,Орхон,15.7
Адуу,61,2022,Орхон,17.4
Адуу,61,2023,Орхон,21.2
Адуу,61,2024,Орхон,25.5
Адуу,62,1970,Өвөрхангай,223.1
Адуу,62,1971,Өвөрхангай,196.5
Адуу,62,1972,Өвөрхангай,195.6
Адуу,62,1973,Өвөрхангай,184
Адуу,62,1974,Өвөрхангай,188.5
Адуу,62,1975,Өвөрхангай,188.6
Адуу,62,1976,Өвөрхангай,195.6
Адуу,62,1977,Өвөрхангай,203
Адуу,62,1978,Өвөрхангай,202.1
Адуу,62,1979,Өвөрхангай,202.4
Адуу,62,1980,Өвөрхангай,183.4
Адуу,62,1981,Өвөрхангай,171.6
Адуу,62,1982,Өвөрхангай,174.1
Адуу,62,1983,Өвөрхангай,163
Адуу,62,1984,Өвөрхангай,164.1
Адуу,62,1985,Өвөрхангай,161.2
Адуу,62,1986,Өвөрхангай,167.9
Адуу,62,1987,Өвөрхангай,166.1
Адуу,62,1988,Өвөрхангай,174.6
