wave,wage_method,n,mean_cpi,mean_nom,mean_real
2020,tier1,10891,100,4384.550474638408,4384.550474638408
2020,tier2,14,99.42971438096032,3962.6352208833237,3978.6930991811387
2021,tier1,6694,107.35894657888159,4609.336870612771,4293.388690458208
2021,tier2,3,106.77556463038587,3635.274997861603,3397.5324828021203
2022,tier1,15117,123.62696891407617,5234.680806020156,4234.254752018057
2022,tier2,32,120.86007167263939,3322.5477931742366,2739.355897400064
2024,tier1,10311,145.69547462288526,8405.834770946429,5769.454948895217
2024,tier2,8,145.67463955329612,7332.506231899996,5039.637975195976
