aimag_name,year,raw_value,px_value,abs_diff,values_match
Дорнод,2017,26,26,0,TRUE
Ховд,2004,23,23,0,TRUE
Завхан,2023,30,30,0,TRUE
Сүхбаатар,2002,15,15,0,TRUE
Булган,2000,23,23,0,TRUE
