wave,n,n_main,mean_nominal,median_nominal,sd_nominal,mean_lnominal
2020,10905,10313,4384.008813606534,3806.818181818182,2590.933698015488,8.243467447559627
2021,6697,6341,4608.900528128337,4000.9469696969695,2578.8722982575123,8.308227220977592
2022,15149,14319,5230.641710607186,4545.454545454545,3156.1941904765567,8.421364790756309
2024,10319,9806,8405.002652687646,7500,4408.069781852524,8.912884712091952
