iv_var,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,expected_sign,sign_ok,verdict
student_teacher_ratio_at_12,0.04755973150144346,0.00399475632092246,10.446165874689122,0.03146235388933904,0.10659253166724104,5641,negative,FALSE,WRONG_SIGN
mean_student_teacher_ratio_age7_15,0.08129640425776566,0.01737395133132153,6.6685405189176326,0.2543282711889336,0.18781397966885893,2095,negative,FALSE,WRONG_SIGN
teachers_per_student_at_12,-18.624936809843643,0.02951043436168634,5.455061266641614,-0.06656204234952323,0.09956598272280436,5641,positive,FALSE,WRONG_SIGN
student_teacher_ratio_at_15,0.02376805672728402,0.0377912511648641,4.915168311561801,0.21627863056343233,0.09462716169233593,7862,negative,FALSE,WRONG_SIGN
school_closure_rate_at_15,1.0878865919826015,0.08955261446769576,3.1683847768828817,0.06163036079058193,0.10407761575189646,7145,negative,FALSE,WRONG_SIGN
school_growth_rate_at_15,-1.0878865919826015,0.08955261446769576,3.1683847768828817,0.06163036079058193,0.10407761575189646,7145,positive,FALSE,WRONG_SIGN
student_teacher_ratio_at_17,0.01381136957973031,0.17638068161000686,1.9574770111659885,0.04205068672730672,0.07429569769569158,9077,negative,FALSE,WRONG_SIGN
school_closure_rate_at_12,-0.7391468285614929,0.1782875197447482,1.9395582126624928,0.2433992718351381,0.1891361723183731,4910,negative,TRUE,WEAK
school_growth_rate_at_12,0.7391468285614929,0.1782875197447482,1.9395582126624928,0.2433992718351381,0.1891361723183731,4910,positive,TRUE,WEAK
mean_teachers_per_student_age7_15,-15.789874269421668,0.17958409869084374,1.9275078682167248,0.11115679480386498,0.2032349296849848,2095,positive,FALSE,WRONG_SIGN
