aimag_name,year,raw_value,px_value,abs_diff,values_match
Архангай,2015,92573,92573,0,TRUE
Булган,1993,58318,58318,0,TRUE
Өвөрхангай,2008,103723,103723,0,TRUE
Дундговь,2018,46191,46191,0,TRUE
Говь-Алтай,2007,57000,57000,0,TRUE
