aimag_name,year,raw_value,px_value,abs_diff,values_match
Сэлэнгэ,2015,18.4,18.4,0,TRUE
Дорноговь,2013,11.1,11.1,0,TRUE
Увс,2023,19.7,19.7,0,TRUE
Өвөрхангай,2004,23.7,23.7,0,TRUE
Өвөрхангай,2001,20.2,20.2,0,TRUE
