hses_code,year,loss
46,2003,92.5
46,2004,10.6
46,2005,29.4
46,2006,40.7
46,2007,10
46,2008,8.4
46,2009,30.8
46,2010,618.8
46,2011,9.4
46,2012,8.8
46,2013,9.8
46,2014,11.1
46,2015,17.3
46,2016,10.1
46,2017,11.3
46,2018,62
46,2019,8.1
46,2020,21
46,2021,129.7
46,2022,10.7
46,2023,169.6
46,2024,81.8
48,1991,34.7
48,1992,55.1
48,1993,95.8
48,1994,77.7
48,1995,20.4
48,1996,17.9
48,1997,14.1
48,1998,11.7
48,1999,55.2
48,2000,734.6
48,2001,69.2
48,2002,23.6
48,2003,36.2
48,2004,3.9
48,2005,26.3
48,2006,49.7
48,2007,6
48,2008,57.2
48,2009,35
48,2010,878.2
48,2011,4.3
48,2012,3.5
48,2013,4.3
48,2014,1.8
48,2015,3.8
48,2016,69.7
48,2017,3.4
48,2018,75.4
48,2019,14.2
48,2020,33.1
48,2021,491.1
48,2022,4.6
48,2023,48.3
48,2024,437.6
61,1991,1.2
61,1992,1.7
61,1993,5.8
61,1994,5.7
61,1995,5.6
61,1996,7.3
61,1997,3.9
61,1998,1.9
61,1999,1.8
61,2000,3.5
61,2001,16.5
61,2002,4.6
61,2003,22.5
61,2004,2.1
61,2005,1.2
61,2006,0.8
61,2007,0.4
61,2008,0.4
61,2009,2.4
61,2010,30
61,2011,0.9
61,2012,1.8
61,2013,2.1
61,2014,0.6
61,2015,0.8
61,2016,0.5
61,2017,5.4
61,2018,6.4
61,2019,0.5
61,2020,1.2
61,2021,0.6
61,2022,0.8
61,2023,3.2
61,2024,8.5
62,1991,57.7
62,1992,50.1
62,1993,140.2
62,1994,26.1
62,1995,25.2
62,1996,70.7
62,1997,26.7
62,1998,19.9
62,1999,43.7
62,2000,632.8
62,2001,302.9
62,2002,222.8
62,2003,44.7
62,2004,8.4
62,2005,38.7
62,2006,19.2
62,2007,12
62,2008,139.6
62,2009,111.3
62,2010,1664.3
62,2011,22
62,2012,8.1
62,2013,19.7
62,2014,8.9
62,2015,64.6
62,2016,37.8
62,2017,29.3
62,2018,352.3
62,2019,103.6
62,2020,210.4
62,2021,328.7
62,2022,11.7
62,2023,178.7
62,2024,115.2
63,1991,30.6
63,1992,28
63,1993,77.9
63,1994,15.7
63,1995,17.5
63,1996,17.5
63,1997,13.6
63,1998,8.2
63,1999,11.9
63,2000,115.7
63,2001,193
63,2002,43.9
63,2003,299.5
63,2004,15.7
63,2005,9.4
63,2006,6.3
63,2007,8.8
63,2008,9
63,2009,27.3
63,2010,223.8
63,2011,75
63,2012,26.2
63,2013,37
63,2014,16.3
63,2015,72.5
63,2016,58.2
63,2017,85.4
63,2018,115.9
63,2019,26.2
63,2020,172
63,2021,29.6
63,2022,33.7
63,2023,263.8
63,2024,606.5
64,1991,16.1
64,1992,23.7
64,1993,209.8
64,1994,17.4
64,1995,31.2
64,1996,65.6
64,1997,35.2
64,1998,36.9
64,1999,75.1
64,2000,214.9
64,2001,459.3
64,2002,683.3
64,2003,18.2
64,2004,7.5
64,2005,9.5
64,2006,19
64,2007,22.7
64,2008,67.2
64,2009,191.3
64,2010,634.5
64,2011,41.3
64,2012,18.1
64,2013,59.4
64,2014,45.7
64,2015,63.2
64,2016,120.5
64,2017,22.4
64,2018,338.4
64,2019,41
64,2020,123.8
64,2021,812.6
64,2022,10.1
64,2023,42.7
64,2024,310.7
65,1991,30
65,1992,46.9
65,1993,85.4
65,1994,23.6
65,1995,88.8
65,1996,25.5
65,1997,12.4
65,1998,16.8
65,1999,15.3
65,2000,144.8
65,2001,538.1
65,2002,70.2
65,2003,116.2
65,2004,26.7
65,2005,19.1
65,2006,21.4
65,2007,17.3
65,2008,41.6
65,2009,56.7
65,2010,1084.2
65,2011,88.3
65,2012,59.7
65,2013,196.2
65,2014,94.1
65,2015,100.3
65,2016,147.4
65,2017,129.5
65,2018,319.4
65,2019,63.8
65,2020,416.7
65,2021,171.9
65,2022,73.3
65,2023,682.3
65,2024,993.3
67,1991,98.4
67,1992,81.7
67,1993,98.5
67,1994,25.5
67,1995,41.5
67,1996,26.7
67,1997,22.5
67,1998,41.6
67,1999,36.7
67,2000,144.9
67,2001,582.6
67,2002,27.8
67,2003,74.5
67,2004,21.7
67,2005,45
67,2006,20.9
67,2007,25.2
67,2008,33
67,2009,142.5
67,2010,698.7
67,2011,67
67,2012,44.5
67,2013,117.4
67,2014,27
67,2015,54.8
67,2016,42.6
67,2017,200.3
67,2018,73.9
67,2019,93.8
67,2020,376.5
67,2021,67.6
67,2022,66.7
67,2023,283.2
67,2024,466.3
81,1991,59.9
81,1992,91.2
81,1993,239.8
81,1994,16.7
81,1995,31.4
81,1996,22.5
81,1997,46.1
81,1998,56.7
81,1999,102.8
81,2000,435
81,2001,584.9
81,2002,90.5
81,2003,69.1
81,2004,9.5
81,2005,72.5
81,2006,12.1
81,2007,13.8
81,2008,65.9
81,2009,210.9
81,2010,1011
81,2011,32.8
81,2012,20.2
81,2013,60.4
81,2014,25.5
81,2015,33.6
81,2016,131.2
81,2017,40.6
81,2018,181
81,2019,22.5
81,2020,97.1
81,2021,49
81,2022,16.9
81,2023,235.3
81,2024,245.7
82,1991,38.4
82,1992,24.2
82,1993,145.4
82,1994,25.1
82,1995,33.5
82,1996,39.3
82,1997,72.7
82,1998,113
82,1999,61.5
82,2000,81.3
82,2001,147.6
82,2002,687.2
82,2003,12.9
82,2004,4.1
82,2005,11.6
82,2006,6.2
82,2007,12
82,2008,73.7
82,2009,115.3
82,2010,738.2
82,2011,53.8
82,2012,34.2
82,2013,36.8
82,2014,35.1
82,2015,16.2
82,2016,35.1
82,2017,10.9
82,2018,151.2
82,2019,57.7
82,2020,30.5
82,2021,278.1
82,2022,15.4
82,2023,157
82,2024,131.6
83,1991,82.3
83,1992,31.1
83,1993,45.7
83,1994,12.7
83,1995,5.4
83,1996,11.5
83,1997,30.1
83,1998,182.3
83,1999,20.8
83,2000,88.5
83,2001,96
83,2002,170
83,2003,30.8
83,2004,20.8
83,2005,91.2
83,2006,15
83,2007,22.9
83,2008,57.7
83,2009,120.8
83,2010,150.9
83,2011,14
83,2012,9.2
83,2013,11.1
83,2014,5.2
83,2015,5.5
83,2016,30.9
83,2017,17.8
83,2018,71
83,2019,60.4
83,2020,9.7
83,2021,10.1
83,2022,15.1
83,2023,110.6
83,2024,78.8
84,1991,36.6
84,1992,52.6
84,1993,28.4
84,1994,58.2
84,1995,23.3
84,1996,55
84,1997,110
84,1998,104
84,1999,30.8
84,2000,56.4
84,2001,177.8
84,2002,275.6
84,2003,23.9
84,2004,7.4
84,2005,22.2
84,2006,7.6
84,2007,10.1
84,2008,87.2
84,2009,70.4
84,2010,444.4
84,2011,59.6
84,2012,23.9
84,2013,23.4
84,2014,27.3
84,2015,17.2
84,2016,57.1
84,2017,30.3
84,2018,175.3
84,2019,131.9
84,2020,18.5
84,2021,35.5
84,2022,39.8
84,2023,294.4
84,2024,79.6
85,1991,55.9
85,1992,91.8
85,1993,60.1
85,1994,55
85,1995,50.3
85,1996,43
85,1997,40.8
85,1998,41.9
85,1999,42
85,2000,286.9
85,2001,115.4
85,2002,219.7
85,2003,30.3
85,2004,10.6
85,2005,110.9
85,2006,32.4
85,2007,47.7
85,2008,223.7
85,2009,286
85,2010,666.2
85,2011,40.7
85,2012,49
85,2013,35.7
85,2014,14
85,2015,18
85,2016,198.1
85,2017,30.6
85,2018,127.8
85,2019,145
85,2020,29.8
85,2021,13.8
85,2022,64.6
85,2023,413.8
85,2024,261.7
