birth_aimag,N,n_unique_student_teacher_ratio_avg_16_18,mean_student_teacher_ratio_avg_16_18,min_student_teacher_ratio_avg_16_18,max_student_teacher_ratio_avg_16_18
11,796,16,21.927711720159905,19.717515194153428,26.95692649605039
21,135,16,19.801125160066135,17.377914848290608,25.819401867815746
22,77,14,21.634401335604082,19.05250472281936,26.71389824167602
23,75,16,20.16903089884689,17.71428586604627,24.944980399595348
41,109,16,23.18859884985474,18.966049777269326,25.314196061184013
42,15,8,9.148291984260869,3.7849148987963424,24.660081206663328
43,81,16,29.592280020657835,21.097261792363508,37.936692763309445
44,92,16,50.261265955770284,22.057363962003656,68.8651129804792
45,113,16,20.61755944322613,18.112704702454607,25.19020593306931
46,62,15,20.91948067517523,18.73521925650059,25.657425626662707
48,61,15,14.194064749211746,7.532852078851537,26.904477504653062
61,86,16,17.187761333820813,12.22850670724473,25.382462039915527
62,158,16,23.621288321109063,21.373500259307033,27.66034486104136
63,67,15,19.187738303264787,16.571990101401866,24.703765445936902
64,153,16,21.524099078247833,17.844766241027923,26.59299064555774
65,146,16,21.331327754877453,17.41189881203214,26.41989135610094
67,127,16,23.330440125074535,21.8101724731657,25.362555483357653
81,140,16,18.80283377146617,16.266249409954096,23.615615615615617
82,122,16,19.71869227988171,16.28432447161385,26.617543819022604
83,234,16,18.365212023061503,15.280303439482276,23.857084622399622
84,151,16,21.161021344744846,17.871928416592553,26.762528432166267
85,113,16,20.62343203351206,16.9105799534993,26.32887104123951
