gamma,N,N_low,N_high,beta_low_2sls,beta_high_2sls,SSR_2SLS,rank_X,rank_Z,rank_XPZX,condition_number_XPZX,warning_flag,warning_note,is_gamma_hat
17.218793037243728,3113,337,2776,0.13454871319061226,0.10435974556151896,45489.321964768686,7,7,7,349039.6655762937,FALSE,,FALSE
17.377914848290608,3113,341,2772,0.12970059633756198,0.10454135035822455,45479.186769025975,7,7,7,335096.47897290235,FALSE,,FALSE
17.41189881203214,3113,344,2769,0.13223102914021717,0.10436980220386781,45504.163623939676,7,7,7,326055.9532573756,FALSE,,FALSE
17.454798439805295,3113,345,2768,0.1320617110931982,0.10437477991144943,45502.69506751589,7,7,7,325678.8467335559,FALSE,,FALSE
17.460079669938825,3113,357,2756,0.12320265649759296,0.1046663934956306,45385.58177913406,7,7,7,273140.475035611,FALSE,,FALSE
17.47327139887104,3113,370,2743,0.11231737866857958,0.10523398010593828,45318.009617514974,7,7,7,244251.77754881786,FALSE,,FALSE
17.505667323282474,3113,378,2735,0.1076422305242806,0.10554097176430165,45273.47409307578,7,7,7,238107.0408290942,FALSE,,FALSE
17.51152107801462,3113,398,2715,0.10733662047779952,0.10555112099923647,45271.81712873855,7,7,7,226784.14083330092,FALSE,,FALSE
17.559477170361543,3113,412,2701,0.11612788685820365,0.10487967508182874,45368.984746536684,7,7,7,224297.35452858516,FALSE,,FALSE
17.61906245364189,3113,421,2692,0.11945516140727888,0.10462321336747774,45411.990420713795,7,7,7,225659.12170547113,FALSE,,FALSE
17.676530414483203,3113,437,2676,0.11991138155430378,0.10455889777898814,45431.25010582035,7,7,7,222730.06350242477,FALSE,,FALSE
17.680555244142315,3113,452,2661,0.11082688813763701,0.10523449355143062,45310.259715597844,7,7,7,217403.48801572877,FALSE,,FALSE
17.71428586604627,3113,457,2656,0.10832773082850397,0.10544554465165018,45284.03371525877,7,7,7,214900.28164614277,FALSE,,FALSE
17.737861882085685,3113,461,2652,0.11373424101962101,0.10495868091536431,45335.75451048277,7,7,7,212720.88563717605,FALSE,,FALSE
17.801474891854223,3113,468,2645,0.11408224314640975,0.10490174010524249,45341.8715087503,7,7,7,210764.92139575834,FALSE,,FALSE
17.844766241027923,3113,475,2638,0.1143089258020955,0.10486884022369368,45343.9179480473,7,7,7,210153.32633555052,FALSE,,FALSE
17.856866096368957,3113,489,2624,0.11941874665899185,0.10429540922370573,45394.15949781883,7,7,7,208232.21850318884,FALSE,,FALSE
17.871928416592553,3113,496,2617,0.11988866027861712,0.10425691797328167,45402.895237951074,7,7,7,209200.72624009757,FALSE,,FALSE
17.877261941932797,3113,510,2603,0.12206934477266372,0.10397452221276333,45436.64607138292,7,7,7,209066.9725117085,FALSE,,FALSE
17.926973745424434,3113,539,2574,0.10215381703920569,0.10607095701409419,45230.32032102586,7,7,7,208738.17276104298,FALSE,,FALSE
17.94108879626121,3113,544,2569,0.09031494331283751,0.10738423879939529,45164.333652240195,7,7,7,209775.0501085573,FALSE,,FALSE
17.94252060109979,3113,547,2566,0.08902899651380639,0.10751552500246211,45164.2152470393,7,7,7,213194.5207998625,FALSE,,FALSE
17.97292857125211,3113,559,2554,0.08691995273528887,0.10788079339506049,45159.08298304506,7,7,7,208531.701089239,FALSE,,FALSE
18.00388453040844,3113,568,2545,0.08675075571576098,0.10791803599247414,45160.67294256351,7,7,7,208060.6303850263,FALSE,,FALSE
18.008870656328696,3113,575,2538,0.08548519561140716,0.10807116063063538,45168.876286769795,7,7,7,207983.50124596927,FALSE,,FALSE
18.015636323033718,3113,597,2516,0.08430606451855933,0.10830789404011547,45161.50066290818,7,7,7,205174.39971956372,FALSE,,FALSE
18.067986634480178,3113,609,2504,0.0924134349960279,0.10725640748936323,45149.0083105394,7,7,7,208116.96498970082,FALSE,,FALSE
18.09913762606492,3113,610,2503,0.09348572135046969,0.10713302119056078,45156.211372774014,7,7,7,208030.671591613,FALSE,,FALSE
18.112704702454607,3113,616,2497,0.09953390388526796,0.106407473850184,45197.56668075687,7,7,7,207685.9112038323,FALSE,,FALSE
18.119683004706165,3113,621,2492,0.09903019197589111,0.10646697497016691,45193.613591379195,7,7,7,207797.1800227398,FALSE,,FALSE
18.131998952853298,3113,629,2484,0.09918578360131078,0.10646470567936361,45190.762902907765,7,7,7,208074.46597082503,FALSE,,FALSE
18.148197678855947,3113,641,2472,0.1001015805598543,0.10636190763468524,45198.68209111092,7,7,7,206773.41753185017,FALSE,,FALSE
18.201891552865302,3113,656,2457,0.09634307854290046,0.10689743485875934,45174.6665222204,7,7,7,206804.74887250352,FALSE,,FALSE
18.207616455223913,3113,659,2454,0.09579454517836178,0.10696715606261395,45170.51525639673,7,7,7,206896.8169336758,FALSE,,FALSE
18.30715456843169,3113,663,2450,0.10246866814572853,0.10611249124462642,45225.60668246551,7,7,7,206335.4532463667,FALSE,,FALSE
18.32433552393979,3113,666,2447,0.09722086676502094,0.10689647742353145,45190.45014140985,7,7,7,206252.62214556162,FALSE,,FALSE
18.350619843700965,3113,680,2433,0.09939960122943542,0.10658370576882323,45197.977932312366,7,7,7,204756.36747965534,FALSE,,FALSE
18.422771126357823,3113,703,2410,0.10000889877531086,0.10652322791211659,45204.684094513446,7,7,7,204737.3617604492,FALSE,,FALSE
18.438348976664894,3113,711,2402,0.10319562486778922,0.10605622476382852,45232.82176678082,7,7,7,204743.37420687426,FALSE,,FALSE
18.533044359074037,3113,714,2399,0.10284314928267566,0.10611102167163448,45227.41075904885,7,7,7,203838.14661981186,FALSE,,FALSE
18.68211668090075,3113,735,2378,0.11072936148604234,0.10489375348921615,45318.52924823836,7,7,7,203401.81425348058,FALSE,,FALSE
18.699445413076308,3113,736,2377,0.11053055224339957,0.1049250392937659,45316.817404606954,7,7,7,203240.30452902857,FALSE,,FALSE
18.73521925650059,3113,741,2372,0.11169808810038266,0.10476632254256675,45338.10193627889,7,7,7,203852.6444457011,FALSE,,FALSE
18.759035353151827,3113,761,2352,0.10779899531873008,0.10532638372780471,45285.18629356037,7,7,7,204670.84024769257,FALSE,,FALSE
18.788359353118945,3113,763,2350,0.10777343302683426,0.10533094801165818,45284.76063889145,7,7,7,204701.941070678,FALSE,,FALSE
18.798216486445543,3113,768,2345,0.10866321605976541,0.10518638506234833,45298.04962426248,7,7,7,205338.8783068261,FALSE,,FALSE
18.818052914827106,3113,781,2332,0.10905316254230471,0.10509726609486102,45301.6318621246,7,7,7,204938.1539420921,FALSE,,FALSE
18.81848932190445,3113,799,2314,0.1061880573608422,0.10558621656574646,45263.647734378144,7,7,7,205045.11816003174,FALSE,,FALSE
18.83011900024993,3113,805,2308,0.10518457889329748,0.10576011508718099,45249.12564129826,7,7,7,204973.88200242704,FALSE,,FALSE
