model,N,term,estimate,se,p_value
OLS baseline,3188,educ_years,0.0472347212262099,0.0034102652937407513,4.952778467114138e-12
2SLS parent_educ_mean IV,3188,fit_educ_years,0.10332046757685122,0.011839279094933127,1.9869804750372924e-08
