variable,residualized_variable,mean,sd,min,max,missing_count,correlation_with_original
lwage,lwage_r,-0.028207830604816617,0.4582298273439193,-1.639376675557485,1.7429288849944555,0,0.9387765855380156
educ_years,educ_years_r,-0.049392177594742445,2.7774158223869074,-14.290558713399713,7.2216081363405795,0,0.9787538784161022
parent_educ_mean,parent_educ_mean_r,-0.19830576972815608,2.7268269580833286,-11.626473241040639,11.363312848996141,0,0.9687551699241379
age,age_r,-0.020531003610604365,1.285332808862898,-2.7185770416774204,2.912631413268958,0,0.32191841467773674
age2,age2_r,-1.2929919420858207,79.8300393173164,-157.5584532540356,221.63721752213178,0,0.31467823457300953
female,female_r,-6.170222271213319e-4,0.49023952235165635,-0.8969681119619511,0.8891607376560888,0,0.9757898778609767
married,married_r,-0.00787390463969219,0.390798873566776,-0.663589148291808,0.9967153551418156,0,0.943955133989002
urban,urban_r,0.058489234301871584,0.3994175601481745,-0.5012732407246538,1.0554050223081344,0,0.9455182952187569
