threshold_variable,gamma_hat,term,estimate,se,t_stat,p_value,N,N_low,N_high,weighting_matrix_used,inference_reference,beta_difference_high_minus_low,warning_note
student_teacher_ratio_at_17,25.46875,educ_low,0.0969907934433977,0.019177642523067525,5.057493032667277,5.233505426629027e-5,1032,855,177,cluster-robust S by birth_aimag,t distribution with df=21,0.04121790110297588,
student_teacher_ratio_at_17,25.46875,educ_high,0.13820869454637358,0.02964046719081322,4.662837925483511,1.3335473143510654e-4,1032,855,177,cluster-robust S by birth_aimag,t distribution with df=21,0.04121790110297588,
