birth_cohort,N,n_unique_student_teacher_ratio_avg_16_18,mean_student_teacher_ratio_avg_16_18,min_birth_year,max_birth_year
1980_1984,87,21,25.662129536414152,1984,1984
1985_1989,695,103,24.939034641965176,1985,1989
1990_1994,1279,107,21.166092252028815,1990,1994
post1995,1052,108,20.509133391448426,1995,1999
