gamma,N,N_low,N_high,beta_low,se_low,p_low,beta_high,se_high,p_high,objective_value,warning_flag,warning_note
1.3941868155987382,3188,1495,1693,0.10735078390038846,0.009694676099053863,3.158724549137129e-10,0.09389060133699677,0.01497218985574239,3.213836736654097e-6,45709.21931690888,FALSE,
1.3992592145147829,3188,1508,1680,0.10756280735130179,0.00953845645921656,2.2711797073973076e-10,0.09400559057307523,0.01594644817346709,7.500251325934948e-6,45758.30771227771,FALSE,
1.4043316134308272,3188,1512,1676,0.10760564592754793,0.009529429971696654,2.2163950879966918e-10,0.09393860091258997,0.01626069067455498,9.820102525355961e-6,45763.04031619142,FALSE,
1.4094040123468716,3188,1512,1676,0.10760564592754793,0.009529429971696654,2.2163950879966918e-10,0.09393860091258997,0.01626069067455498,9.820102525355961e-6,45763.04031619142,FALSE,
1.414476411262916,3188,1512,1676,0.10760564592754793,0.009529429971696654,2.2163950879966918e-10,0.09393860091258997,0.01626069067455498,9.820102525355961e-6,45763.04031619142,FALSE,
1.4195488101789606,3188,1513,1675,0.1075613617937602,0.00955152076428903,2.328868781257004e-10,0.09408223459204708,0.0163010053400848,9.944016214725516e-6,45770.86860487127,FALSE,
1.378969618850605,3188,1489,1699,0.10599657486130874,0.010564236099575457,1.827064080088887e-9,0.0970556693084207,0.015070602412181531,2.2076317691940813e-6,45811.77075806031,FALSE,
1.3840420177666495,3188,1489,1699,0.10599657486130874,0.010564236099575457,1.827064080088887e-9,0.0970556693084207,0.015070602412181531,2.2076317691940813e-6,45811.77075806031,FALSE,
1.3891144166826939,3188,1489,1699,0.10599657486130874,0.010564236099575457,1.827064080088887e-9,0.0970556693084207,0.015070602412181531,2.2076317691940813e-6,45811.77075806031,FALSE,
1.3434628264382942,3188,1468,1720,0.10590081714644702,0.01052213278738208,1.7306898931311883e-9,0.09749061825898277,0.014387555636331184,1.0580293400637161e-6,45826.22743012262,FALSE,
1.3485352253543386,3188,1468,1720,0.10590081714644702,0.01052213278738208,1.7306898931311883e-9,0.09749061825898277,0.014387555636331184,1.0580293400637161e-6,45826.22743012262,FALSE,
1.3383904275222498,3188,1457,1731,0.10606033118254553,0.010428542373424698,1.4405323710260067e-9,0.09718175646317444,0.014398218576806898,1.1205565182794147e-6,45826.42176618678,FALSE,
1.353607624270383,3188,1473,1715,0.10590116240204658,0.010546532454579838,1.8023533139838418e-9,0.09749304608192674,0.014384759789559932,1.0546277332364077e-6,45827.55114868708,FALSE,
