birth_aimag,N,n_unique_student_teacher_ratio_avg_16_17,mean_student_teacher_ratio_avg_16_17,min_student_teacher_ratio_avg_16_17,max_student_teacher_ratio_avg_16_17
11,796,16,22.124390962250967,19.576272791230142,27.055429275776966
21,135,16,20.033266367303128,17.316872272435916,26.19265965303557
22,77,14,21.844542975955303,19.01993355481728,27.124418791085457
23,75,16,20.343173292455983,17.69292412617221,25.17747059939302
41,109,16,23.35287361269812,18.5646074001787,26.439452439452438
42,15,8,9.592635121999363,3.7293204001425657,25.179098187947744
43,81,16,29.046387518029075,20.408107672258616,38.51660939289805
44,92,16,48.22136713598289,21.401835416689693,67.21812401617333
45,113,16,20.83775886670291,17.98855912837071,25.270891367885397
46,62,15,21.18780556361936,18.68253902967842,25.868213911692173
48,61,15,14.884618772262439,7.506174670001444,27.11764170685106
61,86,16,17.565649333948635,12.14290593978759,25.558935090569864
62,158,16,23.81587307619214,21.50032897442224,28.016129763722393
63,67,15,19.481494563487452,16.416426710544357,24.95433484807984
64,153,16,21.8577433473755,17.85286364725617,26.855297934148577
65,146,16,21.68913099533747,17.337616882611826,26.578366445916117
67,127,16,23.335051461352677,20.797932412475024,25.473211756109926
81,140,16,19.07484384715935,16.224682065659028,23.84041184041184
82,122,16,20.05456158239417,16.318378599312666,27.743079861087516
83,234,16,18.67386175203674,15.27144853670686,24.29626523147177
84,151,16,21.515656165858182,17.81186876802998,27.13174445547832
85,113,16,20.995638207783372,16.788675177473976,26.682849045519397
