model,N,term,estimate,se,p_value
OLS baseline,3113,educ_years,0.04678571818461483,0.0033112335240361446,3.3887379622717603e-12
2SLS parent_educ_mean IV,3113,fit_educ_years,0.10567507933646313,0.010958915619114317,3.648655815411754e-9
