b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,18.06804563736354,0.07262634420284764,0.09139249407947911,0.01876614987663147,2463,625,1838,FALSE,FALSE,
2,19.576272791230142,0.08727039989447893,0.11218776763822927,0.024917367743750335,3883,1062,2821,FALSE,FALSE,
3,19.729926191008722,0.08277582748893221,0.11190302058312168,0.02912719309418947,3274,1236,2038,FALSE,FALSE,
4,16.894594370365798,0.07789582077275917,0.1040975284698908,0.026201707697131635,3065,318,2747,FALSE,FALSE,
5,25.684682760094,0.06725342482102281,0.15342498920799374,0.08617156438697093,2407,2099,308,FALSE,FALSE,
6,19.688758420834745,0.07297765288816699,0.1034181557621576,0.03044050287399061,3473,1227,2246,FALSE,FALSE,
7,19.576272791230142,0.08235385779687476,0.1216284897767815,0.03927463197990674,3873,922,2951,FALSE,FALSE,
8,25.836032236197937,0.10193507629241964,0.15007168606484778,0.04813660977242813,2566,2147,419,FALSE,FALSE,
9,19.70783564261825,0.08520173441564843,0.11058477155695198,0.02538303714130355,4071,1115,2956,FALSE,FALSE,
10,25.50634423444468,0.10203303382719764,0.12112815649057376,0.019095122663376124,3131,2589,542,FALSE,FALSE,
11,25.087860539944188,0.09058953405478871,0.15136195226034593,0.06077241820555722,2100,1892,208,FALSE,FALSE,
12,19.729926191008722,0.07400066627294366,0.11214593027536861,0.03814526400242495,3088,1162,1926,FALSE,FALSE,
13,24.91896721962315,0.0666118210665536,0.10933819694586465,0.04272637587931105,2359,1806,553,FALSE,FALSE,
14,25.993743680485338,0.09632166858587712,0.1566086659050672,0.06028699731919007,2432,2138,294,FALSE,FALSE,
15,19.681092974654995,0.07610839503036886,0.10631011353919972,0.03020171850883087,2855,872,1983,FALSE,FALSE,
16,25.090253668364177,0.10183010960118213,0.14293105035294323,0.0411009407517611,2440,1967,473,FALSE,FALSE,
17,24.93376015505794,0.08669181507323426,0.1313074117945372,0.04461559672130294,2453,2038,415,FALSE,FALSE,
18,25.341764036681102,0.08492843157115404,0.14325574360610382,0.058327312034949785,2291,1991,300,FALSE,FALSE,
19,18.53477167993297,0.07795570015903053,0.11585546221191342,0.037899762052882896,3308,688,2620,FALSE,FALSE,
20,18.995397334847908,0.10131234198785291,0.1270056640889084,0.025693322101055488,3260,989,2271,FALSE,FALSE,
21,19.576272791230142,0.08677461330983693,0.10696365567279997,0.02018904236296304,4102,1354,2748,FALSE,FALSE,
22,25.473211756109926,0.08873511757299174,0.09696905178765684,0.008233934214665103,3362,3027,335,FALSE,FALSE,
23,19.729926191008722,0.0751889535777735,0.11805764607645988,0.042868692498686384,2859,821,2038,FALSE,FALSE,
24,25.090253668364177,0.09370197888992743,0.1183442393189354,0.024642260429007967,3173,2529,644,FALSE,FALSE,
25,17.923387030316213,0.07478349064159029,0.10524813828046016,0.03046464763886987,3341,541,2800,FALSE,FALSE,
26,23.381040929967888,0.1154531287236727,0.1112002450164054,-0.004252883707267299,2907,2080,827,FALSE,FALSE,
27,26.289170429274208,0.11080884549671663,0.12980470745393688,0.01899586195722025,3054,2654,400,FALSE,FALSE,
28,19.729926191008722,0.08247134345133442,0.11660384250382513,0.03413249905249072,4312,982,3330,FALSE,FALSE,
29,17.98503388251919,0.0775047327288973,0.1152006711503344,0.037695938421437106,3854,588,3266,FALSE,FALSE,
30,25.50634423444468,0.09484257582068943,0.13025576695957342,0.035413191138883984,2470,1963,507,FALSE,FALSE,
31,19.729926191008722,0.07574952485886106,0.11614263402999943,0.040393109171138364,5072,958,4114,FALSE,FALSE,
32,20.42782813402008,0.11026843478186796,0.12714302356939022,0.016874588787522266,2388,1246,1142,FALSE,FALSE,
33,19.681092974654995,0.09745212993487776,0.12424996115128623,0.02679783121640847,2928,717,2211,FALSE,FALSE,
34,25.341764036681102,0.09455287063545202,0.12543191415818516,0.030879043522733143,3213,2802,411,FALSE,FALSE,
35,19.576272791230142,0.09382346292889046,0.11265434581696554,0.01883088288807508,3070,837,2233,FALSE,FALSE,
36,19.774011299435028,0.0924377845741754,0.1107198959659381,0.01828211139176271,3700,935,2765,FALSE,FALSE,
37,19.729926191008722,0.09621419041483079,0.11238152043295514,0.016167330018124357,2868,823,2045,FALSE,FALSE,
38,25.341764036681102,0.07923233585600169,0.11983630132717071,0.040603965471169026,2481,2113,368,FALSE,FALSE,
39,24.89683344100154,0.06631288497158214,0.09721229473636554,0.030899409764783406,2299,1791,508,FALSE,FALSE,
40,19.097177399610953,0.08547841761085204,0.10601251751206178,0.020534099901209746,3553,613,2940,FALSE,FALSE,
41,19.729926191008722,0.09684045125738448,0.12257109767025891,0.025730646412874425,3914,940,2974,FALSE,FALSE,
42,19.70783564261825,0.10004017620321579,0.11548839888466292,0.015448222681447132,3036,954,2082,FALSE,FALSE,
43,19.70783564261825,0.08533312594536283,0.10763638753814943,0.022303261592786602,4149,1408,2741,FALSE,FALSE,
44,25.50634423444468,0.09183181066234641,0.15500846035977778,0.06317664969743136,2496,2197,299,FALSE,FALSE,
45,19.729926191008722,0.09544828135450814,0.11546259228979608,0.020014310935287938,3740,838,2902,FALSE,FALSE,
46,19.576272791230142,0.07791285276655463,0.11976386450581103,0.0418510117392564,3782,889,2893,FALSE,FALSE,
47,19.681092974654995,0.07538431549460071,0.10852283657139868,0.03313852107679796,3973,1216,2757,FALSE,FALSE,
48,18.06804563736354,0.09609416850236385,0.12242339926533966,0.026329230762975803,3690,431,3259,FALSE,FALSE,
49,18.06804563736354,0.09259795785912699,0.11423251344010812,0.021634555580981138,3662,427,3235,FALSE,FALSE,
50,19.729926191008722,0.08584253173515632,0.11568068500584733,0.029838153270691004,3562,1052,2510,FALSE,FALSE,
51,19.576272791230142,0.080078787826935,0.10720762412985375,0.02712883630291875,3335,1025,2310,FALSE,FALSE,
52,25.341764036681102,0.10885464204611421,0.15301545171908404,0.04416080967296983,2934,2576,358,FALSE,FALSE,
53,25.836032236197937,0.10349673539936738,0.1330214027540541,0.02952466735468673,3229,2701,528,FALSE,FALSE,
54,18.041717768140494,0.0807674904640441,0.10866626408082816,0.027898773616784056,2947,417,2530,FALSE,FALSE,
