gamma,distance_cutoff_km,N,N_low,N_high,beta_low_2sls,beta_high_2sls,SSR_2SLS,rank_X,rank_Z,rank_XPZX,condition_number_XPZX,warning_flag,warning_note,is_gamma_hat
0,0,3188,813,2375,0.11878280191904485,0.09121600557927936,45761.38292291942,7,7,7,183997.94657463473,FALSE,,FALSE
3.166224512012111,23.717768951505168,3188,925,2263,0.12040949734413871,0.08881358233049685,45753.70585556045,7,7,7,184397.05256426608,FALSE,,FALSE
5.240965028193771,188.85226225436716,3188,1041,2147,0.11701568509271712,0.09042027187199528,45813.751692154445,7,7,7,184429.46630900732,FALSE,,FALSE
5.322112856214436,204.81617227094975,3188,1056,2132,0.11712374428378679,0.09016915999653329,45811.6462390358,7,7,7,184369.0634455443,FALSE,,FALSE
5.492901229668555,242.9610711962522,3188,1144,2044,0.11981357940080802,0.08545917008974581,45818.78009609365,7,7,7,184999.06711432696,FALSE,,FALSE
5.499361342425192,244.53570780046405,3188,1209,1979,0.11721097691040035,0.08774662024569392,45815.0223370283,7,7,7,185608.10529062277,FALSE,,FALSE
5.571330080606137,262.783389986997,3188,1294,1894,0.11365866408501243,0.09079981556475213,45885.736247334826,7,7,7,185348.0137648043,FALSE,,FALSE
5.595497032343333,269.2114236293638,3188,1365,1823,0.11417123373487333,0.089307159838151,45887.41215872133,7,7,7,184678.36144287453,FALSE,,FALSE
5.661712889523027,287.64091794375616,3188,1443,1745,0.11362743158974978,0.08870651453572419,45907.785441898646,7,7,7,182955.00626761772,FALSE,,FALSE
5.893695483748599,362.7433225537648,3188,1604,1584,0.11458129737183995,0.07983490868223803,45697.606343171654,7,7,7,182784.22241292385,FALSE,,FALSE
6.020528998025398,411.79637758911014,3188,1754,1434,0.112627635888861,0.08054959011050208,45733.371465962,7,7,7,182659.90384010228,FALSE,,FALSE
6.031531866870764,416.3523374741248,3188,1849,1339,0.11323236250179088,0.07717803855550275,45690.50563544567,7,7,7,182656.78016435588,FALSE,,FALSE
6.212866024558282,499.129721333,3188,1929,1259,0.11044418748519526,0.08262661457241889,45677.43810166345,7,7,7,182723.73077397788,FALSE,,FALSE
6.228819337004976,507.15634914338665,3188,2086,1102,0.11005308746939053,0.07946997904687268,45632.90863846936,7,7,7,182644.44053008533,FALSE,,FALSE
6.254060024057959,520.1202443913592,3188,2148,1040,0.11007781793023924,0.07934981991654141,45669.50875323655,7,7,7,182680.43157204278,FALSE,,FALSE
6.273816383131787,530.4981035071357,3188,2276,912,0.1093333129028948,0.07932380782886168,45746.08070021586,7,7,7,182657.16367466605,FALSE,,FALSE
6.33846246873975,565.9255139453393,3188,2414,774,0.1054521592320051,0.09123840827568329,45879.551830843775,7,7,7,184133.7371342585,FALSE,,FALSE
6.622385839997917,751.7364822502227,3188,2557,631,0.10423596520388537,0.09728022601685628,45996.20592447494,7,7,7,183858.94410314452,FALSE,,FALSE
6.7131620918227926,823.169465858091,3188,2682,506,0.10542175733538797,0.08593820985111196,46004.42858871909,7,7,7,186803.91421023183,FALSE,,FALSE
7.009217191049774,1106.7877623316901,3188,2796,392,0.10742713816592063,0.06270382549220398,46210.566521750996,7,7,7,187205.00801287507,FALSE,,FALSE
7.034999065305796,1135.693850664736,3188,2950,238,0.11060973585717279,-0.002109745214575472,46874.54547031317,7,7,7,183055.99960837702,FALSE,,FALSE
