family,importance,share
Хувийн шинж,0.480215747431942,0.480215747431942
Сургуулийн хүртээмж,0.19231706521930195,0.19231706521930195
Сурагч-багшийн харьцаа,0.15233949209405195,0.15233949209405195
Судалгааны давалгаа,0.10217877255213073,0.10217877255213073
Төрсөн үе,0.0729489227025734,0.0729489227025734
Төрсөн аймаг,0,0
