variable_name,type,N_nonmissing,missing_rate,unique_values,min,p10,p25,p50,p75,p90,max,corr_lwage,corr_educ_years,corr_parent_educ_mean,family,expected_mechanism,theory_score,predetermined_score,post_treatment_penalty,iv_overlap_penalty,level_fe_penalty,caveat,data_quality_score,variation_score,usable_continuous_threshold,usable_binary_split,reject_reason,overall_score
born_ub,binary,3710,0,2,0,0,0,0,1,1,1,0.08918859319685214,0.05501174343773629,0.24432393499231553,Geographic/labor-market access,UB-born vs non-UB-born heterogeneity split.,3,5,0,0,2,"Binary split, not continuous Caner-Hansen threshold.",5,1,FALSE,TRUE,"binary split only, not continuous threshold",12
rural_birth,binary,3710,0,2,0,0,0,1,1,1,1,-0.08918859319685214,-0.05501174343773629,-0.24432393499231553,Geographic/labor-market access,Non-UB-born vs UB-born heterogeneity split.,3,5,0,0,2,"Binary split, not continuous Caner-Hansen threshold.",5,1,FALSE,TRUE,"binary split only, not continuous threshold",12
