birth_cohort,N,n_unique_student_teacher_ratio_avg_17_18,mean_student_teacher_ratio_avg_17_18,min_birth_year,max_birth_year
1980_1984,162,41,25.49586490168267,1983,1984
1985_1989,695,103,24.66905160019375,1985,1989
1990_1994,1279,107,20.95886348585998,1990,1994
post1995,1052,108,20.413858509804317,1995,1999
