threshold_regime,N,mean_tau_log,mean_return_pct,median_student_teacher_ratio_17_18,urban_share,female_share,mean_age
Доод STR регим,1051,0.11220221290182485,11.990909923140794,17.76202100276734,0.6698382492863939,0.4319695528068506,27.20266412940057
Дээд STR регим,2137,0.1042994861306816,11.037475427427873,22.64614036983738,0.8109499298081423,0.49134300421151145,31.02526906878802
