birth_aimag,N,distance_to_ub,log_distance_to_ub,n_unique_log_distance_to_ub,mean_lwage,mean_educ_years,mean_parent_educ_mean
11,813,0,0,1,8.268832905864075,13.195571955719558,11.511685116851169
41,112,23.717768951505168,3.166224512012111,1,8.156000724608486,12.991071428571429,10.276785714285714
45,116,188.8522622543672,5.240965028193771,1,8.196361304040725,12.931034482758621,10.47844827586207
42,15,204.81617227094983,5.322112856214436,1,8.185724117683248,13.133333333333333,7.666666666666667
61,88,242.96107119625228,5.492901229668555,1,8.343777892124153,12.852272727272727,11.028409090909092
48,65,244.535707800464,5.499361342425192,1,8.216924236111169,12.815384615384616,10.023076923076923
43,85,262.783389986997,5.571330080606137,1,8.267278139482235,12.564705882352941,10.764705882352942
63,71,269.21142362936376,5.595497032343333,1,8.3247781521662,13.098591549295774,10.084507042253522
23,78,287.6409179437562,5.661712889523027,1,8.242337366782099,12.833333333333334,10.288461538461538
62,161,362.7433225537649,5.893695483748599,1,8.171770027608902,12.546583850931677,9.41304347826087
65,150,411.79637758911,6.020528998025398,1,8.219698392086686,12.573333333333334,9.983333333333333
44,95,416.3523374741248,6.031531866870764,1,8.196290682459704,12.83157894736842,10.105263157894736
22,80,499.1297213329998,6.212866024558282,1,8.11584184968105,12.4125,9.4875
64,157,507.1563491433865,6.228819337004976,1,8.098409866429705,12.426751592356688,10.26751592356688
46,62,520.120244391359,6.254060024057959,1,8.328043648547796,13.564516129032258,10.370967741935484
67,128,530.498103507136,6.273816383131787,1,8.070413432124257,12.4140625,9.29296875
21,138,565.9255139453393,6.33846246873975,1,8.14015096365762,12.166666666666666,9.83695652173913
81,143,751.7364822502226,6.622385839997917,1,8.126778061141149,13.048951048951048,9.881118881118882
82,125,823.1694658580907,6.7131620918227926,1,8.207417753757747,13.4,10.028
85,114,1106.78776233169,7.009217191049774,1,8.168356292283233,13.701754385964913,9.75
84,154,1135.6938506647364,7.034999065305796,1,8.173993324386082,13.123376623376624,9.71103896103896
83,238,1252.9474173158897,7.133253988585239,1,7.989286649926623,13.357142857142858,9.892857142857142
