b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,19.114821429988513,0.0834692543045286,0.10317436353470115,0.019705109230172546,3627,638,2989,FALSE,FALSE,
2,19.806769563020094,0.10820384677025668,0.1186757628048953,0.01047191603463861,3071,1064,2007,FALSE,FALSE,
3,19.61182193062687,0.09960354050966543,0.11467678126329268,0.01507324075362726,5017,715,4302,FALSE,FALSE,
4,19.806769563020094,0.08336693732067123,0.10871837950749669,0.02535144218682546,2990,1190,1800,FALSE,FALSE,
5,18.81848932190445,0.08600290835808785,0.10388834070757481,0.01788543234948696,4063,903,3160,FALSE,FALSE,
6,19.350678307200045,0.08599028236521847,0.11256808113799492,0.026577798772776454,4091,1004,3087,FALSE,FALSE,
7,18.96672143576005,0.10030551108876096,0.11087964968134995,0.010574138592588989,2925,836,2089,FALSE,FALSE,
8,18.96672143576005,0.06400896941453142,0.09483965340192778,0.030830683987396357,2301,842,1459,FALSE,FALSE,
9,25.362555483357653,0.09979632079766329,0.126527887509019,0.02673156671135571,3284,2679,605,FALSE,FALSE,
10,19.805350829047185,0.09860008936624906,0.11107902302596923,0.012478933659720165,3283,1328,1955,FALSE,FALSE,
11,25.362555483357653,0.09908830382714308,0.14310178115627759,0.04401347732913451,2046,1842,204,FALSE,FALSE,
12,19.805350829047185,0.07478620343927847,0.1130669873584957,0.03828078391921723,3302,1327,1975,FALSE,FALSE,
13,19.12177975172682,0.06543409999055819,0.11314400073606314,0.04770990074550495,4571,647,3924,FALSE,FALSE,
14,25.19020593306931,0.10615618827364787,0.12260932655972076,0.016453138286072894,3125,2632,493,FALSE,FALSE,
15,19.114821429988513,0.07653009236929514,0.11111060722003707,0.03458051485074193,3191,831,2360,FALSE,FALSE,
16,18.96672143576005,0.08505948282018014,0.11590526524505063,0.030845782424870488,3055,810,2245,FALSE,FALSE,
17,19.61182193062687,0.0903273190353791,0.10393963781737522,0.013612318781996119,3047,914,2133,FALSE,FALSE,
18,19.870365823828326,0.07260601230999916,0.08079366657613794,0.00818765426613878,2394,1292,1102,FALSE,FALSE,
19,25.878803292112114,0.11669870136713531,0.1551341720591548,0.0384354706920195,2096,1721,375,FALSE,FALSE,
20,19.806769563020094,0.07758687468661322,0.11010383594062519,0.03251696125401196,3113,1293,1820,FALSE,FALSE,
21,19.60033787245687,0.08334643892905533,0.10984194514161208,0.026495506212556752,3186,1075,2111,FALSE,FALSE,
22,16.857084150440357,0.05407902633665651,0.10383347601503334,0.04975444967837683,2239,339,1900,FALSE,FALSE,
23,20.887892164374822,0.093780977693595,0.07759040079876006,-0.01619057689483494,2108,949,1159,FALSE,FALSE,
24,19.806769563020094,0.07677597363375314,0.11257181175314278,0.035795838119389634,4206,1623,2583,FALSE,FALSE,
25,19.27869384387977,0.07274053990449275,0.09266982856234013,0.019929288657847377,2871,864,2007,FALSE,FALSE,
26,19.61182193062687,0.09403745339051682,0.10399362343765048,0.009956170047133658,3238,1097,2141,FALSE,FALSE,
27,25.31757881017335,0.10970770615785626,0.16296374134927727,0.05325603519142101,2534,2136,398,FALSE,FALSE,
28,25.460230048124227,0.07864032626719221,0.13357043750283995,0.05493011123564774,2564,2131,433,FALSE,FALSE,
29,19.806769563020094,0.0810725533610096,0.10723885424339341,0.02616630088238381,3700,1286,2414,FALSE,FALSE,
30,18.96672143576005,0.08896470292218037,0.10913919917745067,0.020174496255270305,3224,908,2316,FALSE,FALSE,
31,19.61182193062687,0.07354288769769013,0.10213558814191863,0.0285927004442285,3010,1045,1965,FALSE,FALSE,
32,25.299559964028415,0.08770670268601324,0.14174334567087982,0.05403664298486657,2504,2134,370,FALSE,FALSE,
33,17.47327139887104,0.07811884965726672,0.09424732651269423,0.01612847685542751,3251,400,2851,FALSE,FALSE,
34,25.362555483357653,0.09067719280552186,0.12123789400648896,0.0305607012009671,2503,1989,514,FALSE,FALSE,
35,26.171389911851257,0.09081838407420262,0.1522820186448395,0.06146363457063689,2727,2415,312,FALSE,FALSE,
36,18.015636323033718,0.095277494669020385,0.11301119651191413,0.017733701842893745,5121,718,4403,FALSE,FALSE,
37,19.61182193062687,0.09128371367229246,0.11452879662971112,0.02324508295741866,3707,893,2814,FALSE,FALSE,
38,19.350678307200045,0.07638771416808517,0.10747307932274376,0.031085365154658595,3235,830,2405,FALSE,FALSE,
39,19.61182193062687,0.09267999484669955,0.11541894213335169,0.022738947286652142,3696,1045,2651,FALSE,FALSE,
40,19.805350829047185,0.10073497002322451,0.1328873056575653,0.03215233563434078,3344,1394,1950,FALSE,FALSE,
41,22.572146235469603,0.11007670247689424,0.14545061871824802,0.035373916241353776,2603,1330,1273,FALSE,FALSE,
42,19.806769563020094,0.10775268777969632,0.12182566804231294,0.014072980262616622,3620,1233,2387,FALSE,FALSE,
43,20.07440944585288,0.08551834631524688,0.1167336783068322,0.031215331991585327,2319,820,1499,FALSE,FALSE,
44,19.843845656610355,0.09763740691944887,0.1298714281297962,0.03223402121034734,2331,755,1576,FALSE,FALSE,
45,25.19020593306931,0.09026742557001913,0.13163726250359495,0.04136983693357582,2340,2031,309,FALSE,FALSE,
46,19.114821429988513,0.08968663103849266,0.10257707106995793,0.012890440031465278,3353,924,2429,FALSE,FALSE,
47,25.161314330815753,0.1130992098541235,0.12900237074159435,0.015903160887470846,2916,2391,525,FALSE,FALSE,
