variable,residualized_variable,mean,sd,min,max,missing_count,correlation_with_original
lwage,lwage_r,-0.03225012645498624,0.44659130292093824,-1.6718009459605652,1.5423011838028327,0,0.9243527639872399
educ_years,educ_years_r,-0.09063428942436647,2.809360475668096,-12.655236802488943,7.738129765810619,0,0.9631880475250857
parent_educ_mean,parent_educ_mean_r,-0.18532712869427914,2.591766232674212,-9.784643604099575,10.981768684943107,0,0.9640617781985269
age,age_r,-0.00662048024630267,1.263545869225404,-2.5749663194184436,2.680973597370535,0,0.3085358011343569
age2,age2_r,-0.3652094799843249,78.8723623044968,-158.07807192756582,208.9800422844885,0,0.29386132647620966
female,female_r,-0.007546440412023197,0.4899472341942923,-0.927741115183151,0.984542200637626,0,0.9685047134977492
married,married_r,0.004871856669537517,0.39963083407002603,-0.7284393616863043,0.9641272433204224,0,0.9596112603500973
urban,urban_r,0.04450166152740037,0.2647509695034877,-0.288761031491533,0.9982111558076223,0,0.9892397454064024
