model,N,beta_educ_years,se,p_value,accepted_first_stage_clustered_wald_F,weak_iv_flag,cluster,weights
OLS,3188,0.0472347212262099,0.0034102652937407513,4.952778467114138e-12,NA,NA,birth_aimag,hhweight
2SLS_parent_educ_mean,3188,0.10332046757685122,0.011839279094933127,1.9869804750372924e-08,558.45,FALSE,birth_aimag,hhweight
