spec,N,pi_hat,F_first,beta_iv,se_beta,cor_qschool_access,verdict
dzud5_6_17 (count),9077,-0.0856954006899585,12.474673788142626,0.20693950126356087,0.055242886320624594,0.29950186304950205,"✅ STRONG (F>=10, low cor)"
any_dzud5_6_17 (binary),9077,NA,NA,NA,NA,NA,🚨 USELESS (F<1)
dzud5_intensity (share),9077,-1.1052020452440143,14.774732789298852,0.19496192161953224,0.047376745486413845,0.32016204699540557,"✅ STRONG (F>=10, low cor)"
cum_loss_rate_6_17 (continuous),9077,-0.23126168079527418,2.1091479168363776,0.566279482965923,0.06914983806806557,0.317410617361167,❌ WEAK (F<5)
log_cum_loss (log),9077,-0.4117340828200472,2.5625008526972914,0.5305714101761518,0.050694230760499955,0.3195515978866578,❌ WEAK (F<5)
dzud_top10_6_17 (Top-10%),9077,0.07337812396180926,4.7871775785252995,-0.0594223158717464,0.08289303715294993,-0.07818041967209582,❌ WEAK (F<5)
max_loss_rate_6_17 (worst yr),9077,-0.778969075961333,7.048219193924786,0.27160462922756357,0.022862432104809295,0.4295038101503747,"🟡 MARGINAL (F in [5,10))"
