model,N,term,estimate,se,p_value
OLS baseline,1032,educ_years,0.05492963832171723,0.006574931985111414,4.081851435591551e-8
2SLS parent_educ_mean IV,1032,fit_educ_years,0.1093151044227303,0.015679647356110094,6.939574142934557e-7
