model,N,joint_F_father_mother,joint_F_p_value,weak_iv_flag,term,estimate,se,p_value,cluster,weights
First stage: educ_years,1802,140.06621028860638,3.0868781147383034e-57,FALSE,father_educ_years,0.1958304688650845,0.024329721316008506,7.465912563577466e-8,birth_aimag,hhweight
First stage: educ_years,1802,140.06621028860638,3.0868781147383034e-57,FALSE,mother_educ_years,0.18920005386350092,0.0195421026422346,3.4035331234255563e-9,birth_aimag,hhweight
