gamma_hat,term,estimate,se,t_stat,p_value,N,N_low,N_high,weighting_matrix_used,inference_reference,beta_difference_high_minus_low,warning_note
1.0380060250036154,educ_low,0.12045404562121279,0.005298108511052962,22.73529229722654,2.847980773890147e-16,3188,793,2395,cluster-robust S by birth_aimag,t distribution with df=21,-0.029577299834500664,
1.0380060250036154,educ_high,0.09087674578671212,0.014960526509029948,6.074434996111954,4.995358827273403e-6,3188,793,2395,cluster-robust S by birth_aimag,t distribution with df=21,-0.029577299834500664,
