b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
334,5.893695483748599,362.7433225537648,0.09501351430132436,0.07276246795240963,-0.022251046348914727,2278,1025,1253,FALSE,FALSE,
335,6.031531866870764,416.3523374741248,0.11369423031165218,0.0911835231018497,-0.022510707209802486,3146,1978,1168,FALSE,FALSE,
336,5.322112856214436,204.81617227094975,0.12045748210770664,0.09678584497980294,-0.023671637127903697,2789,955,1834,FALSE,FALSE,
337,6.228819337004976,507.15634914338665,0.11435652973159834,0.05125379626405838,-0.06310273346753996,2738,1756,982,FALSE,FALSE,
338,5.893695483748599,362.7433225537648,0.11516728023224664,0.08439858997212882,-0.030768690260117817,3516,1866,1650,FALSE,FALSE,
339,6.228819337004976,507.15634914338665,0.09949924521901068,0.07927615227549148,-0.020223092943519205,2546,1638,908,FALSE,FALSE,
340,6.031531866870764,416.3523374741248,0.08107735649913603,0.06757008914451668,-0.013507267354619351,2326,1183,1143,FALSE,FALSE,
341,5.492901229668555,242.9610711962522,0.13289063953447477,0.12494786154279075,-0.007942777991684025,2980,1365,1615,FALSE,FALSE,
342,0,0,0.11726530017558266,0.0652361942366897,-0.052029105938892956,3547,813,2734,TRUE,FALSE,S_cluster unavailable; used robust S
343,5.661712889523027,287.64091794375616,0.05482604625662046,0.12208815863525252,0.06726211237863206,2410,759,1651,FALSE,FALSE,
344,5.322112856214436,204.81617227094975,0.1035183185448611,0.10107814812947784,-0.002440170415383261,2313,243,2070,FALSE,FALSE,
345,5.492901229668555,242.9610711962522,0.1262195692582714,0.10256079807769838,-0.023658771180573024,2376,443,1933,FALSE,FALSE,
346,6.212866024558282,499.129721333,0.1075520566785705,0.04711376206926152,-0.06043829460930898,2784,1179,1605,FALSE,FALSE,
347,0,0,0.11875474257045598,0.09432874709429498,-0.024425995476161005,3837,1626,2211,TRUE,FALSE,S_cluster unavailable; used robust S
348,0,0,0.11727281575200102,0.06329664545033212,-0.0539761703016689,3604,813,2791,TRUE,FALSE,S_cluster unavailable; used robust S
349,0,0,0.11834547721459093,0.06980957469750469,-0.04853590251708624,3824,1626,2198,TRUE,FALSE,S_cluster unavailable; used robust S
350,6.031531866870764,416.3523374741248,0.11659726198836853,0.09893121548016502,-0.017666046508203512,2347,799,1548,FALSE,FALSE,
351,5.240965028193771,188.85226225436716,0.05310280163431293,0.08155135412251054,0.02844855248819761,2397,464,1933,TRUE,FALSE,S_cluster unavailable; used robust S
352,0,0,0.11829001958345373,0.08481851634906477,-0.03347150323438895,3563,813,2750,TRUE,FALSE,S_cluster unavailable; used robust S
353,6.228819337004976,507.15634914338665,0.11294405250642055,0.07878283960226354,-0.03416121290415701,2661,2135,526,FALSE,FALSE,
354,5.595497032343333,269.2114236293638,0.11962739377637224,0.11417275248989835,-0.005454641286473896,3214,1395,1819,FALSE,FALSE,
355,5.571330080606137,262.783389986997,0.07635386734893546,0.0826212252601835,0.00626735791124805,2727,571,2156,FALSE,FALSE,
356,0,0,0.11847730501111509,0.09351689606391744,-0.024960408947197643,3363,813,2550,TRUE,FALSE,S_cluster unavailable; used robust S
357,6.228819337004976,507.15634914338665,0.11433130445378704,0.04542906665270523,-0.06890223780108182,3214,2249,965,FALSE,FALSE,
358,6.228819337004976,507.15634914338665,0.11462188963149486,0.07517526488199229,-0.03944662474950257,4047,3064,983,FALSE,FALSE,
359,0,0,0.11701862584447952,0.060772179250483685,-0.05624644659399583,3338,813,2525,TRUE,FALSE,S_cluster unavailable; used robust S
360,0,0,0.11853849515681776,0.08009601932809446,-0.0384424758287233,3140,813,2327,TRUE,FALSE,S_cluster unavailable; used robust S
361,5.893695483748599,362.7433225537648,0.11715702470525542,0.10146811587658894,-0.015688908828666484,3359,1835,1524,FALSE,FALSE,
362,5.893695483748599,362.7433225537648,0.11557989625007836,0.10070774681026495,-0.014872149439813409,3203,1594,1609,FALSE,FALSE,
363,6.212866024558282,499.129721333,0.08987119701184773,0.07616196874926054,-0.013709228262587192,2948,1209,1739,FALSE,FALSE,
364,6.228819337004976,507.15634914338665,0.08229829459004775,0.06793921693765764,-0.014359077652390112,2439,1429,1010,FALSE,FALSE,
365,6.031531866870764,416.3523374741248,0.12464147270232143,0.1187738434294775,-0.005867629272843927,3225,1681,1544,FALSE,FALSE,
366,5.240965028193771,188.85226225436716,0.08212495100776418,0.11170082367422629,0.02957587266646211,2372,344,2028,FALSE,FALSE,
367,6.212866024558282,499.129721333,0.0958443016362838,0.07694235997035276,-0.018901941665931038,2538,929,1609,FALSE,FALSE,
368,6.212866024558282,499.129721333,0.11558254206195516,0.0718825275446002,-0.04370001451735496,3356,1906,1450,FALSE,FALSE,
369,5.893695483748599,362.7433225537648,0.12030009688579599,0.07497923867512915,-0.04532085821066684,2753,1212,1541,FALSE,FALSE,
370,5.492901229668555,242.9610711962522,0.11990776687526301,0.09221252129240695,-0.027695245582856062,3272,1241,2031,FALSE,FALSE,
371,5.492901229668555,242.9610711962522,0.12022306199591419,0.08843358890737796,-0.03178947308853623,3731,2045,1686,FALSE,FALSE,
372,5.893695483748599,362.7433225537648,0.11360048670012121,0.09243135196684255,-0.021169134733278666,3431,1647,1784,FALSE,FALSE,
373,5.240965028193771,188.85226225436716,0.08263891323995276,0.08687374176661414,0.004234828526661377,2379,344,2035,FALSE,FALSE,
374,6.228819337004976,507.15634914338665,0.10606169164112562,0.07220167445205833,-0.033860017189067296,2976,1844,1132,FALSE,FALSE,
375,6.228819337004976,507.15634914338665,0.11408044985510013,0.05962779081696373,-0.0544526590381364,2875,2011,864,FALSE,FALSE,
376,5.492901229668555,242.9610711962522,0.1154903332915882,0.10200734771158237,-0.013482985580005824,2503,408,2095,FALSE,FALSE,
377,6.031531866870764,416.3523374741248,0.1218700568763334,0.09967885068278365,-0.02219120619354975,3215,1550,1665,FALSE,FALSE,
378,0,0,0.11826864137072678,0.08412800430672028,-0.034140637064006496,3154,813,2341,TRUE,FALSE,S_cluster unavailable; used robust S
379,6.212866024558282,499.129721333,0.11482162955290229,0.05286364771893026,-0.061957981833972026,4626,3682,944,FALSE,FALSE,
380,6.228819337004976,507.15634914338665,0.11013632520271857,0.07852124233899906,-0.031615082863719515,2916,2397,519,FALSE,FALSE,
381,0,0,0.11860082494550188,0.06731148146840084,-0.05128934347710104,3595,813,2782,TRUE,FALSE,S_cluster unavailable; used robust S
382,3.166224512012111,23.717768951505168,0.11964329110970588,0.09074404799278199,-0.028899243116923892,3550,1738,1812,FALSE,FALSE,
383,3.166224512012111,23.717768951505168,0.12024868581727133,0.1044122801743547,-0.015836405642916634,3136,925,2211,FALSE,FALSE,
384,6.228819337004976,507.15634914338665,0.12022986158131614,0.06406505652072082,-0.05616480506059532,3069,1835,1234,FALSE,FALSE,
385,6.228819337004976,507.15634914338665,0.10507296883180071,0.07571992958988596,-0.02935303924191475,2487,875,1612,FALSE,FALSE,
386,5.893695483748599,362.7433225537648,0.11283308061346842,0.06452205644654634,-0.04831102416692208,4065,2674,1391,FALSE,FALSE,
387,6.228819337004976,507.15634914338665,0.12376844478164557,0.06238222660052095,-0.06138621818112462,2443,808,1635,FALSE,FALSE,
388,6.228819337004976,507.15634914338665,0.11241856580687382,0.05959431119619025,-0.05282425461068357,3250,2268,982,FALSE,FALSE,
389,6.228819337004976,507.15634914338665,0.1176676282054294,0.07282481953970177,-0.04484280866572764,3368,1968,1400,FALSE,FALSE,
390,6.228819337004976,507.15634914338665,0.09455887238013887,0.08659196584830858,-0.007966906531830284,2409,1846,563,FALSE,FALSE,
391,6.031531866870764,416.3523374741248,0.1128228147538482,0.09257273835963353,-0.020250076394214667,2507,840,1667,FALSE,FALSE,
392,5.893695483748599,362.7433225537648,0.11473501528560182,0.07852443861205224,-0.03621057667354957,2254,742,1512,FALSE,FALSE,
393,0,0,0.11774741963348537,0.08950202274431818,-0.02824539688916719,3316,813,2503,TRUE,FALSE,S_cluster unavailable; used robust S
394,5.893695483748599,362.7433225537648,0.11998617805556819,0.0716406510077892,-0.04834552704777899,3476,1993,1483,FALSE,FALSE,
395,0,0,0.11768011229680503,0.08357312542274913,-0.0341069868740559,3593,1626,1967,TRUE,FALSE,S_cluster unavailable; used robust S
396,5.595497032343333,269.2114236293638,0.056136448343465234,0.08127033326006718,0.025133884916601942,2635,695,1940,FALSE,FALSE,
397,0,0,0.11825028458158608,0.08907785144428405,-0.02917243313730203,3583,813,2770,TRUE,FALSE,S_cluster unavailable; used robust S
398,5.661712889523027,287.64091794375616,0.08836411509051784,0.11144584909564079,0.02308173400512295,2234,723,1511,FALSE,FALSE,
399,0,0,0.11854073241758391,0.08180129812734861,-0.036739434290235295,4146,1626,2520,TRUE,FALSE,S_cluster unavailable; used robust S
