b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
177,6.228819337004976,507.15634914338665,0.10873051544353222,0.05991296338516472,-0.048817552058367505,3402,2078,1324,FALSE,FALSE,
178,3.166224512012111,23.717768951505168,0.12182369634772218,0.1052677959273842,-0.016555900420337985,3294,1149,2145,FALSE,FALSE,
179,6.228819337004976,507.15634914338665,0.10910007274539942,0.08334246284041419,-0.025757609904985226,3984,3137,847,FALSE,FALSE,
180,0,0,0.11895470308045224,0.10815978258574588,-0.010794920494706359,3419,813,2606,TRUE,FALSE,S_cluster unavailable; used robust S
181,5.893695483748599,362.7433225537648,0.11780896886838607,0.07639881243575128,-0.04141015643263479,4355,3407,948,FALSE,FALSE,
182,6.212866024558282,499.129721333,0.08522072895379249,0.030510928571621874,-0.05470980038217061,2433,1667,766,FALSE,FALSE,
183,0,0,0.11819517513393574,0.08053989278377108,-0.03765528235016466,3255,813,2442,TRUE,FALSE,S_cluster unavailable; used robust S
184,5.893695483748599,362.7433225537648,0.1183477002765281,0.11451262632675624,-0.0038350739497718667,2634,1021,1613,FALSE,FALSE,
185,0,0,0.11844790366964017,0.0845860055839643,-0.03386189808567587,2939,813,2126,TRUE,FALSE,S_cluster unavailable; used robust S
186,6.228819337004976,507.15634914338665,0.11146407549972476,0.06172742289156338,-0.049736652608161375,3588,1826,1762,FALSE,FALSE,
187,6.228819337004976,507.15634914338665,0.1035440211613792,0.07864172076750134,-0.024902300393877863,2258,1117,1141,FALSE,FALSE,
188,6.228819337004976,507.15634914338665,0.12855387777658694,0.08040787575522998,-0.048146002021356965,2530,988,1542,FALSE,FALSE,
189,5.595497032343333,269.2114236293638,0.12016060794437507,0.11631649631387193,-0.003844111630503133,3853,1989,1864,FALSE,FALSE,
190,3.166224512012111,23.717768951505168,0.11925205135918013,0.07742454581710301,-0.04182750554207712,4005,1738,2267,FALSE,FALSE,
191,5.240965028193771,188.85226225436716,0.11078717927087464,0.07078461871785549,-0.04000256055301915,2729,340,2389,FALSE,FALSE,
192,6.212866024558282,499.129721333,0.11571915745019279,0.06464124423527524,-0.051077913214917545,4607,3539,1068,FALSE,FALSE,
193,6.031531866870764,416.3523374741248,0.11619484176469753,0.10843092203091517,-0.007763919733782362,2874,927,1947,FALSE,FALSE,
194,6.228819337004976,507.15634914338665,0.07047744530549244,0.058624664340069396,-0.01185278096542304,2778,989,1789,FALSE,FALSE,
195,6.228819337004976,507.15634914338665,0.11506994063461867,0.06559107282234068,-0.04947886781227799,2947,2209,738,FALSE,FALSE,
196,5.571330080606137,262.783389986997,0.07339728125379781,0.07732465071754947,0.003927369463751662,2578,752,1826,FALSE,FALSE,
197,5.893695483748599,362.7433225537648,0.1179203922311881,0.07656528485358387,-0.04135510737760423,3241,1716,1525,FALSE,FALSE,
198,5.499361342425192,244.53570780046405,0.11531150388668114,0.06393781589202559,-0.051373687994655554,3511,908,2603,FALSE,FALSE,
199,6.031531866870764,416.3523374741248,0.10738825924410864,0.08628143151415262,-0.02110682772995602,2615,1041,1574,FALSE,FALSE,
200,6.031531866870764,416.3523374741248,0.12215168587984862,0.08126067040174027,-0.04089101547810835,2674,760,1914,FALSE,FALSE,
201,6.228819337004976,507.15634914338665,0.11608960803964728,0.047228944626970124,-0.06886066341267716,3155,2199,956,FALSE,FALSE,
202,3.166224512012111,23.717768951505168,0.12056757915342525,0.09252217866265894,-0.028045400490766315,2886,925,1961,FALSE,FALSE,
203,6.031531866870764,416.3523374741248,0.11973275742579706,0.10993499146057313,-0.009797765965223929,3845,2532,1313,FALSE,FALSE,
204,6.228819337004976,507.15634914338665,0.09736550081157785,0.07785270325434518,-0.019512797557232675,2443,1396,1047,FALSE,FALSE,
205,6.212866024558282,499.129721333,0.11474582385325276,0.0791404201521558,-0.03560540370109695,2942,2068,874,FALSE,FALSE,
206,5.893695483748599,362.7433225537648,0.12130965540715201,0.10721387876127425,-0.014095776645877758,3609,2346,1263,FALSE,FALSE,
207,5.893695483748599,362.7433225537648,0.11587666959424818,0.06133170693793784,-0.05454496265631034,4031,2399,1632,FALSE,FALSE,
208,5.893695483748599,362.7433225537648,0.10963430590789208,0.0923265432620676,-0.01730776264582448,2849,1037,1812,FALSE,FALSE,
209,5.893695483748599,362.7433225537648,0.11667729461570793,0.10106591261554472,-0.01561138200016321,3801,2396,1405,FALSE,FALSE,
210,6.228819337004976,507.15634914338665,0.10596821950671323,0.06442486627917993,-0.0415433532275333,3135,1523,1612,FALSE,FALSE,
211,3.166224512012111,23.717768951505168,0.1429477309536875,0.08556062675996284,-0.05738710419372467,2471,336,2135,TRUE,FALSE,S_cluster unavailable; used robust S
212,5.661712889523027,287.64091794375616,0.08669089983483957,0.07021053252122975,-0.01648036731360983,2297,861,1436,FALSE,FALSE,
213,0,0,0.11774972381870862,0.06453170077545914,-0.05321802304324948,3696,813,2883,TRUE,FALSE,S_cluster unavailable; used robust S
214,6.031531866870764,416.3523374741248,0.11382949511765682,0.08497182144607461,-0.028857673671582207,4383,3431,952,FALSE,FALSE,
215,6.031531866870764,416.3523374741248,0.11984980311006685,0.07272370739740458,-0.04712609571266227,3348,1603,1745,FALSE,FALSE,
216,0,0,0.11722392242859328,0.07351294315584792,-0.043710979272745365,3117,813,2304,TRUE,FALSE,S_cluster unavailable; used robust S
217,6.228819337004976,507.15634914338665,0.1169100075659984,0.06369122686513318,-0.05321878070086522,3207,2270,937,FALSE,FALSE,
218,6.031531866870764,416.3523374741248,0.12072289686266258,0.08667474621468148,-0.0340481506479811,4501,3240,1261,FALSE,FALSE,
219,0,0,0.11925249436565885,0.08195578007099477,-0.03729671429466408,3146,813,2333,TRUE,FALSE,S_cluster unavailable; used robust S
220,6.228819337004976,507.15634914338665,0.09291700708802583,0.04289386731218271,-0.05002313977584312,2491,1610,881,FALSE,FALSE,
221,0,0,0.11864074355293416,0.0711025179562892,-0.04753822559664496,3588,1626,1962,TRUE,FALSE,S_cluster unavailable; used robust S
222,5.893695483748599,362.7433225537648,0.11307818749604999,0.07792818999761827,-0.035149997498431715,2373,490,1883,FALSE,FALSE,
223,6.212866024558282,499.129721333,0.10769418999251712,0.07931047772844285,-0.028383712264074268,2495,1122,1373,FALSE,FALSE,
224,0,0,0.1179700180660013,0.07784944407062733,-0.04012057399537397,3097,813,2284,TRUE,FALSE,S_cluster unavailable; used robust S
225,5.499361342425192,244.53570780046405,0.10450906737559323,0.09362802014897426,-0.010881047226618978,2316,233,2083,FALSE,FALSE,
226,3.166224512012111,23.717768951505168,0.1197809136540736,0.10427211275697545,-0.015508800897098149,3083,925,2158,FALSE,FALSE,
227,5.893695483748599,362.7433225537648,0.10955940912086391,0.09086111193142185,-0.018698297189442062,3274,1744,1530,FALSE,FALSE,
228,5.492901229668555,242.9610711962522,0.12928085179143914,0.0828255440854284,-0.04645530770601074,2417,720,1697,FALSE,FALSE,
229,5.499361342425192,244.53570780046405,0.12160796736038648,0.1008368668698218,-0.020771100490564687,1860,553,1307,FALSE,FALSE,
230,6.031531866870764,416.3523374741248,0.11814925353507674,0.0790296236356395,-0.039119629899437236,3913,2559,1354,FALSE,FALSE,
