standard_name,source_name
id,id
identif,identif
ind_id,ind_id
educ_years,educ_years
wage,real_hourly
ln_wage,lwage
birth_year,birth_year
birth_aimag,birth_aimag
age,age
age2,age2
sex,is_female
married,is_married
urban,urban
hhweight,hhweight
wave,wave
region,region
hhsize,hhsize
